ano;mes;id;tamano;categoria;sexo;grupo;division;ro_t_1;ho_t_1;c_t_1;ht_t_1;ro;ho;c;ht
2022;9;1762;3;P;1;9;1;93759440;31516;100574540;31875;108624020;36951;115713904;37079
2022;9;1762;3;P;2;1;1;170161208;7379;178190709;7379;159639053;7000;165833994;7000
2022;9;1762;3;P;2;2;1;2214994305;145034;2306846051;145305;2268473386;147060;2337465126;147060
2022;9;1762;3;P;2;3;1;111886992;26085;121187320;26204;110937622;26652;118833058;26652
2022;9;1762;3;P;2;4;1;107103160;23815;114834940;23850;109775697;23626;117389950;23626
2022;9;1762;3;P;2;5;1;;;;;;;;
2022;9;1762;3;P;2;6;1;;;;;;;;
2022;9;1762;3;P;2;7;1;;;;;;;;
2022;9;1762;3;P;2;8;1;;;;;;;;
2022;9;1762;3;P;2;9;1;130833794;39502;140788749;39949;133643807;41014;143544008;41299
2022;9;1118;3;P;1;1;1;683771671;38007;721412514;38007;694831389;38574;732828692;38574
2022;9;1118;3;P;1;2;1;6234188068;569929;6769213121;573859;6128163190;572316;6666870215;576284
2022;9;1118;3;P;1;3;1;962831965;188116;1139721100;191191;980653575;190447;1159716632;193691
2022;9;1118;3;P;1;4;1;1011606339;198050;1179418644;198742;996390258;195535;1159020166;196186
2022;9;1118;3;P;1;5;1;35483513;12451;44257528;12462;36798237;12457;46093995;12478
2022;9;1118;3;P;1;6;1;;;;;;;;
2022;9;1118;3;P;1;7;1;28835377;9261;36378348;9273;27680908;8883;34407241;8895
2022;9;1118;3;P;1;8;1;;;;;;;;
2022;9;1118;3;P;1;9;1;178375194;74774;233266782;75317;179686896;75553;236153638;76066
2022;9;1118;3;P;2;1;1;665262243;28552;693756958;28552;657656323;28363;686122672;28363
2022;9;1118;3;P;2;2;1;6542203309;475135;6872371099;476156;6578492854;475665;6915549316;476831
2022;9;1118;3;P;2;3;1;514175612;90059;599397269;91507;506437127;89552;592594003;91195
2022;9;1118;3;P;2;4;1;278562704;60469;331326074;61336;270046692;59747;322266724;60472
2022;9;1118;3;P;2;5;1;16916310;3273;19789127;3341;15208008;2918;17734818;2974
2022;9;1118;3;P;2;6;1;;;;;;;;
2022;9;1118;3;P;2;7;1;27309390;7289;34255995;7420;28546944;7560;35160504;7680
2022;9;1118;3;P;2;8;1;24998943;5057;30475613;5197;22387090;4721;27722852;4925
2022;9;1118;3;P;2;9;1;83530141;27009;103794615;27285;80921044;27100;102098199;27428
2022;9;1310;1;N;1;1;6;;;;;;;;
2022;9;1310;1;N;1;2;6;1218333;194;1308631;194;1218333;194;1320171;194
2022;9;1310;1;N;1;3;6;;;;;;;;
2022;9;1310;1;N;1;4;6;2319326;388;2523151;388;2319326;388;2652353;388
2022;9;1310;1;N;1;5;6;;;;;;;;
2022;9;1310;1;N;1;6;6;;;;;;;;
2022;9;1310;1;N;1;7;6;3129166;1073;3309719;1073;4100000;1358;4377090;1358
2022;9;1310;1;N;1;8;6;;;;;;;;
2022;9;1310;1;N;1;9;6;;;;;;;;
2022;9;1310;1;N;2;1;6;2519791;194;3178120;194;2519791;194;3273433;194
2022;9;1310;1;N;2;2;6;;;;;;;;
2022;9;1310;1;N;2;3;6;;;;;;;;
2022;9;1310;1;N;2;4;6;4010624;582;4605103;582;4010624;582;4759483;582
2022;9;1310;1;N;2;5;6;;;;;;;;
2022;9;1310;1;N;2;6;6;;;;;;;;
2022;9;1310;1;N;2;7;6;5760000;1646;6142352;1646;6004998;1704;6430336;1704
2022;9;1310;1;N;2;8;6;;;;;;;;
2022;9;1310;1;N;2;9;6;;;;;;;;
2022;9;1544;3;C;1;1;10;59039669;1617;62105150;1617;61130375;1746;64458272;1746
2022;9;1544;3;C;1;2;10;168025749;11521;185185513;11534;171392386;11658;189220023;11670
2022;9;1544;3;C;1;3;10;29068692;2134;32134091;2145;29215440;2134;32480668;2147
2022;9;1544;3;C;1;4;10;1597166;219;1803665;219;2492833;388;2853552;388
2022;9;1544;3;C;1;5;10;;;;;;;;
2022;9;1544;3;C;1;6;10;;;;;;;;
2022;9;1544;3;C;1;7;10;;;;;;;;
2022;9;1544;3;C;1;8;10;;;;;;;;
2022;9;1544;3;C;1;9;10;;;;;;;;
2022;9;1544;3;C;2;1;10;157874169;3686;165174285;3686;157874169;3686;164378178;3686
2022;9;1544;3;C;2;2;10;201757843;11076;217725593;11076;201910797;11096;218865504;11101
2022;9;1544;3;C;2;3;10;34090129;2813;37830707;2844;34115688;2910;37778829;2917
2022;9;1544;3;C;2;4;10;6857538;388;7661538;388;7457891;388;8278898;388
2022;9;1544;3;C;2;5;10;;;;;;;;
2022;9;1544;3;C;2;6;10;;;;;;;;
2022;9;1544;3;C;2;7;10;31563577;3724;37597994;3846;30233592;3491;36048994;3610
2022;9;1544;3;C;2;8;10;19887800;3104;22698067;3157;19267641;3097;22405543;3190
2022;9;1544;3;C;2;9;10;19973628;3866;24740401;4161;21532070;4300;25148235;4337
2022;9;14;3;C;1;1;7;8731303;387;9363178;387;8731303;387;9363178;387
2022;9;14;3;C;1;2;7;3472246;332;3993048;357;4271802;387;4810478;397
2022;9;14;3;C;1;3;7;11721755;2322;14095450;2391;11952951;2322;14268483;2396
2022;9;14;3;C;1;4;7;;;;;;;;
2022;9;14;3;C;1;5;7;;;;;;;;
2022;9;14;3;C;1;6;7;22290525;580;23259926;580;27000108;580;27969509;580
2022;9;14;3;C;1;7;7;4714974;1548;6154886;1608;3044502;1161;4265358;1224
2022;9;14;3;C;1;8;7;;;;;;;;
2022;9;14;3;C;1;9;7;;;;;;;;
2022;9;14;3;C;2;1;7;31951643;774;33857548;774;31951643;774;33857548;774
2022;9;14;3;C;2;2;7;32537316;2129;35578488;2149;32609802;2129;35884350;2167
2022;9;14;3;C;2;3;7;34289543;4451;43691148;4773;36139634;4837;42121349;4951
2022;9;14;3;C;2;4;7;;;;;;;;
2022;9;14;3;C;2;5;7;;;;;;;;
2022;9;14;3;C;2;6;7;34180056;774;35674411;774;36939672;774;38434027;774
2022;9;14;3;C;2;7;7;120572193;29219;158448566;31260;123484938;30186;153252996;31101
2022;9;14;3;C;2;8;7;;;;;;;;
2022;9;14;3;C;2;9;7;;;;;;;;
2022;9;338;3;C;1;1;2;;;;;;;;
2022;9;338;3;C;1;2;2;16037114;1689;17284166;1689;16069545;1548;17298214;1548
2022;9;338;3;C;1;3;2;5578532;1309;6434524;1371;4894304;1157;5370178;1164
2022;9;338;3;C;1;4;2;1761788;341;2038251;371;2603158;580;2781959;580
2022;9;338;3;C;1;5;2;;;;;;;;
2022;9;338;3;C;1;6;2;;;;;;;;
2022;9;338;3;C;1;7;2;;;;;;;;
2022;9;338;3;C;1;8;2;;;;;;;;
2022;9;338;3;C;1;9;2;26846583;8652;33800753;8964;21577690;7285;25332268;7599
2022;9;338;3;C;2;1;2;57900397;774;58639356;774;57900397;774;58644384;774
2022;9;338;3;C;2;2;2;51851122;2489;54355492;2489;51758351;2470;54287969;2470
2022;9;338;3;C;2;3;2;23863859;3644;26890489;3807;24098906;3676;26782851;3776
2022;9;338;3;C;2;4;2;7238850;1670;7936861;1746;7044661;1548;7654964;1607
2022;9;338;3;C;2;5;2;;;;;;;;
2022;9;338;3;C;2;6;2;;;;;;;;
2022;9;338;3;C;2;7;2;;;;;;;;
2022;9;338;3;C;2;8;2;22460791;5911;27905038;6654;24543884;6501;31040947;7489
2022;9;338;3;C;2;9;2;89733171;26551;110544217;27810;79522451;22481;93449077;23687
2022;9;380;3;G;1;1;2;;;;;;;;
2022;9;380;3;G;1;2;2;3470501;188;3708022;191;3503343;188;3759449;191
2022;9;380;3;G;1;3;2;28275426;6040;34006518;6301;37063347;5926;43454107;6176
2022;9;380;3;G;1;4;2;19876381;4548;23797927;4744;18117357;4150;21976268;4359
2022;9;380;3;G;1;5;2;;;;;;;;
2022;9;380;3;G;1;6;2;;;;;;;;
2022;9;380;3;G;1;7;2;;;;;;;;
2022;9;380;3;G;1;8;2;890696;199;1177833;229;989184;215;1353283;248
2022;9;380;3;G;1;9;2;207540547;54367;247389933;56759;228603930;58613;278583302;61060
2022;9;380;3;G;2;1;2;2777816;114;3007450;114;2778983;114;3009974;114
2022;9;380;3;G;2;2;2;10402582;370;10873996;375;10280120;358;10706580;358
2022;9;380;3;G;2;3;2;35023235;6398;41100347;6725;31837847;6407;38753482;6707
2022;9;380;3;G;2;4;2;16045858;3182;19056696;3302;16057650;3189;19212315;3299
2022;9;380;3;G;2;5;2;;;;;;;;
2022;9;380;3;G;2;6;2;;;;;;;;
